time_casa,time_visitante,gols_casa,gols_visitante,data
CD Tondela,Sporting Clube de Portugal,0,3,2025-10-26
CD Nacional,GD Estoril Praia,1,1,2025-10-26
Vitória SC,FC Famalicão,0,2,2025-10-26
Casa Pia AC,Sporting Clube de Braga,0,4,2025-10-26
Sport Lisboa e Benfica,FC Arouca,5,0,2025-10-25
CF Estrela da Amadora,Rio Ave FC,1,2,2025-10-25
AVS,CD Santa Clara,0,2,2025-10-25
FC Alverca,Gil Vicente FC,0,4,2025-10-24
Sporting Clube de Portugal,Olympique de Marseille,2,1,2025-10-22
Sport Lisboa e Benfica,Newcastle United FC,0,3,2025-10-21
CD Tondela,Rio Ave FC,0,3,2025-10-05
Sport Lisboa e Benfica,FC Porto,0,0,2025-10-05
FC Famalicão,FC Arouca,1,1,2025-10-05
Sporting Clube de Braga,Sporting Clube de Portugal,1,1,2025-10-05
CD Nacional,Moreirense FC,3,2,2025-10-04
Vitória SC,CD Santa Clara,2,1,2025-10-04
CF Estrela da Amadora,Gil Vicente FC,0,2,2025-10-04
AVS,FC Alverca,1,3,2025-10-04
Casa Pia AC,GD Estoril Praia,2,2,2025-10-03
Sporting Clube de Portugal,SSC Napoli,1,2,2025-10-01
Sport Lisboa e Benfica,Chelsea FC,0,1,2025-09-30
FC Arouca,FC Porto,0,4,2025-09-29
FC Famalicão,Rio Ave FC,0,0,2025-09-28
Sporting Clube de Braga,CD Nacional,0,1,2025-09-28
FC Alverca,Vitória SC,2,0,2025-09-28
GD Estoril Praia,Sporting Clube de Portugal,0,1,2025-09-27
CD Santa Clara,CD Tondela,1,2,2025-09-27
Casa Pia AC,Moreirense FC,1,2,2025-09-27
AVS,CF Estrela da Amadora,0,3,2025-09-27
Gil Vicente FC,Sport Lisboa e Benfica,1,2,2025-09-26
Sport Lisboa e Benfica,Rio Ave FC,1,1,2025-09-23
Moreirense FC,Sporting Clube de Portugal,0,3,2025-09-22
Gil Vicente FC,GD Estoril Praia,2,0,2025-09-21
Casa Pia AC,FC Famalicão,1,1,2025-09-21
CF Estrela da Amadora,CD Tondela,0,0,2025-09-21
CD Nacional,FC Arouca,1,2,2025-09-20
Sporting Clube de Braga,Vitória SC,1,1,2025-09-20
FC Alverca,CD Santa Clara,1,2,2025-09-20
AVS,Sport Lisboa e Benfica,0,3,2025-09-20
FC Porto,Rio Ave FC,3,0,2025-09-19
Sporting Clube de Portugal,FK Kairat,4,1,2025-09-18
Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,2025-09-16
Sporting Clube de Braga,Gil Vicente FC,0,1,2025-09-14
Casa Pia AC,FC Arouca,2,0,2025-09-14
CF Estrela da Amadora,Vitória SC,0,2,2025-09-14
Moreirense FC,Rio Ave FC,3,1,2025-09-13
CD Nacional,FC Porto,0,1,2025-09-13
FC Famalicão,Sporting Clube de Portugal,1,2,2025-09-13
AVS,GD Estoril Praia,1,3,2025-09-13
CD Santa Clara,Sport Lisboa e Benfica,1,1,2025-09-12
FC Alverca,CD Tondela,1,0,2025-09-12
CD Santa Clara,GD Estoril Praia,1,0,2025-09-06
CD Tondela,GD Estoril Praia,2,2,2025-08-31
Sporting Clube de Braga,Rio Ave FC,2,2,2025-08-31
FC Alverca,Sport Lisboa e Benfica,1,2,2025-08-31
CF Estrela da Amadora,CD Santa Clara,0,0,2025-08-31
FC Porto,Sporting Clube de Portugal,2,1,2025-08-30
Vitória SC,FC Arouca,1,1,2025-08-30
Casa Pia AC,CD Nacional,0,2,2025-08-30
AVS,FC Famalicão,0,1,2025-08-30
Gil Vicente FC,Moreirense FC,2,0,2025-08-29
CF Estrela da Amadora,FC Alverca,2,2,2025-08-25
Gil Vicente FC,FC Famalicão,0,0,2025-08-24
Casa Pia AC,FC Porto,0,4,2025-08-24
AVS,Sporting Clube de Braga,2,2,2025-08-24
FC Arouca,Rio Ave FC,3,3,2025-08-23
Sport Lisboa e Benfica,CD Tondela,3,0,2025-08-23
CD Nacional,Sporting Clube de Portugal,1,4,2025-08-23
Vitória SC,Moreirense FC,0,2,2025-08-23
Gil Vicente FC,FC Porto,0,2,2025-08-18
FC Arouca,Sporting Clube de Portugal,0,6,2025-08-17
CD Nacional,Rio Ave FC,1,1,2025-08-17
CD Santa Clara,Moreirense FC,0,1,2025-08-17
FC Alverca,Sporting Clube de Braga,0,3,2025-08-17
FC Famalicão,CD Tondela,1,0,2025-08-16
Vitória SC,GD Estoril Praia,3,2,2025-08-16
CF Estrela da Amadora,Sport Lisboa e Benfica,0,1,2025-08-16
AVS,Casa Pia AC,0,2,2025-08-15
Vitória SC,FC Porto,0,3,2025-08-11
CF Estrela da Amadora,GD Estoril Praia,1,1,2025-08-11
FC Famalicão,CD Santa Clara,3,0,2025-08-10
Sporting Clube de Braga,CD Tondela,3,0,2025-08-10
FC Alverca,Moreirense FC,1,2,2025-08-10
Gil Vicente FC,CD Nacional,2,0,2025-08-09
AVS,FC Arouca,1,3,2025-08-09
Casa Pia AC,Sporting Clube de Portugal,0,2,2025-08-08
