time_casa,time_visitante,gols_casa,gols_visitante,data
Bologna FC 1909,ACF Fiorentina,2,2,2025-10-26
SS Lazio,Juventus FC,1,0,2025-10-26
Hellas Verona FC,Cagliari Calcio,2,2,2025-10-26
US Sassuolo Calcio,AS Roma,0,1,2025-10-26
Torino FC,Genoa CFC,2,1,2025-10-26
SSC Napoli,FC Internazionale Milano,3,1,2025-10-25
US Cremonese,Atalanta BC,1,1,2025-10-25
US Lecce,Udinese Calcio,2,3,2025-10-25
Como 1907,Parma Calcio 1913,0,0,2025-10-25
AC Pisa 1909,AC Milan,2,2,2025-10-24
Atalanta BC,SK Slavia Praha,0,0,2025-10-22
Juventus FC,Real Madrid CF,0,1,2025-10-22
FC Internazionale Milano,Royale Union Saint-Gilloise,4,0,2025-10-21
SSC Napoli,PSV,2,6,2025-10-21
US Cremonese,Udinese Calcio,1,1,2025-10-20
ACF Fiorentina,AC Milan,1,2,2025-10-19
Cagliari Calcio,Bologna FC 1909,0,2,2025-10-19
SS Lazio,Atalanta BC,0,0,2025-10-19
Parma Calcio 1913,Genoa CFC,0,0,2025-10-19
Como 1907,Juventus FC,2,0,2025-10-19
FC Internazionale Milano,AS Roma,1,0,2025-10-18
AC Pisa 1909,Hellas Verona FC,0,0,2025-10-18
Torino FC,SSC Napoli,1,0,2025-10-18
US Lecce,US Sassuolo Calcio,0,0,2025-10-18
AS Roma,ACF Fiorentina,2,1,2025-10-05
Juventus FC,AC Milan,0,0,2025-10-05
SSC Napoli,Genoa CFC,2,1,2025-10-05
Udinese Calcio,Cagliari Calcio,1,1,2025-10-05
AC Pisa 1909,Bologna FC 1909,0,4,2025-10-05
US Cremonese,FC Internazionale Milano,1,4,2025-10-04
Torino FC,SS Lazio,3,3,2025-10-04
US Lecce,Parma Calcio 1913,1,0,2025-10-04
Como 1907,Atalanta BC,1,1,2025-10-04
US Sassuolo Calcio,Hellas Verona FC,1,0,2025-10-03
Juventus FC,Villarreal CF,2,2,2025-10-01
SSC Napoli,Sporting Clube de Portugal,2,1,2025-10-01
Atalanta BC,Club Brugge KV,2,1,2025-09-30
FC Internazionale Milano,SK Slavia Praha,3,0,2025-09-30
SS Lazio,Genoa CFC,3,0,2025-09-29
Torino FC,Parma Calcio 1913,1,2,2025-09-29
SSC Napoli,AC Milan,1,2,2025-09-28
Hellas Verona FC,AS Roma,0,2,2025-09-28
US Sassuolo Calcio,Udinese Calcio,3,1,2025-09-28
AC Pisa 1909,ACF Fiorentina,0,0,2025-09-28
US Lecce,Bologna FC 1909,2,2,2025-09-28
FC Internazionale Milano,Cagliari Calcio,2,0,2025-09-27
Juventus FC,Atalanta BC,1,1,2025-09-27
Como 1907,US Cremonese,1,1,2025-09-27
AC Pisa 1909,SSC Napoli,2,3,2025-09-22
SS Lazio,AS Roma,0,1,2025-09-21
US Cremonese,Parma Calcio 1913,0,0,2025-09-21
US Sassuolo Calcio,FC Internazionale Milano,1,2,2025-09-21
Torino FC,Atalanta BC,0,3,2025-09-21
Como 1907,ACF Fiorentina,2,1,2025-09-21
Genoa CFC,Bologna FC 1909,1,2,2025-09-20
Udinese Calcio,AC Milan,0,3,2025-09-20
Hellas Verona FC,Juventus FC,1,1,2025-09-20
US Lecce,Cagliari Calcio,1,2,2025-09-19
SSC Napoli,Manchester City FC,0,2,2025-09-18
Atalanta BC,Paris Saint-Germain FC,0,4,2025-09-17
FC Internazionale Milano,AFC Ajax,2,0,2025-09-17
Juventus FC,Borussia Dortmund,4,4,2025-09-16
US Cremonese,Hellas Verona FC,0,0,2025-09-15
Como 1907,Genoa CFC,1,1,2025-09-15
Bologna FC 1909,AC Milan,0,1,2025-09-14
US Sassuolo Calcio,SS Lazio,1,0,2025-09-14
AC Pisa 1909,Udinese Calcio,0,1,2025-09-14
Torino FC,AS Roma,1,0,2025-09-14
US Lecce,Atalanta BC,1,4,2025-09-14
Juventus FC,FC Internazionale Milano,4,3,2025-09-13
Parma Calcio 1913,Cagliari Calcio,0,2,2025-09-13
SSC Napoli,ACF Fiorentina,3,1,2025-09-13
Juventus FC,Genoa CFC,1,0,2025-08-31
Udinese Calcio,FC Internazionale Milano,2,1,2025-08-31
Hellas Verona FC,SS Lazio,0,4,2025-08-31
Torino FC,ACF Fiorentina,0,0,2025-08-31
Parma Calcio 1913,Atalanta BC,1,1,2025-08-30
SSC Napoli,Cagliari Calcio,1,0,2025-08-30
AC Pisa 1909,AS Roma,0,1,2025-08-30
Como 1907,Bologna FC 1909,0,1,2025-08-30
US Sassuolo Calcio,US Cremonese,2,3,2025-08-29
US Lecce,AC Milan,0,2,2025-08-29
Hellas Verona FC,Udinese Calcio,1,1,2025-08-25
Torino FC,FC Internazionale Milano,0,5,2025-08-25
Cagliari Calcio,ACF Fiorentina,1,1,2025-08-24
Parma Calcio 1913,Juventus FC,0,2,2025-08-24
AC Pisa 1909,Atalanta BC,1,1,2025-08-24
Como 1907,SS Lazio,2,0,2025-08-24
Bologna FC 1909,AS Roma,0,1,2025-08-23
US Cremonese,AC Milan,2,1,2025-08-23
US Sassuolo Calcio,SSC Napoli,0,2,2025-08-23
US Lecce,Genoa CFC,0,0,2025-08-23
